time,shunt_voltage,voltage,temperature,current,seconds_combined,temperature_uncorr
2023-08-07 11:07:48.243,2.1238311,0.31505128,,0.045064113254868,3166.239,310.91383954815217
2023-08-07 11:07:49.372,2.1238202,0.31505346,,0.0450638819752552,3167.368,310.9171187031161
2023-08-07 11:07:50.506,2.1238202,0.31505454,,0.0450638819752552,3168.502,310.918051430171
2023-08-07 11:07:51.635,2.1237985,0.31504911,,0.0450634215378608,3169.631,310.9161419543307
2023-08-07 11:07:52.757,2.1237985,0.3150502,,0.0450634215378608,3170.753,310.9170833273657
2023-08-07 11:07:53.879,2.1238093,0.31505346,,0.0450636506956423,3171.875,310.91851515524337
2023-08-07 11:07:55.042,2.1237767,0.3150502,,0.0450629589786352,3173.038,310.9198762741282
2023-08-07 11:07:56.166,2.1237985,0.31504802,,0.0450634215378608,3174.162,310.9152005812957
2023-08-07 11:07:57.300,2.1237767,0.31504911,,0.0450629589786352,3175.296,310.91893489143035
2023-08-07 11:07:58.425,2.1237767,0.31505237,,0.0450629589786352,3176.421,310.9217504029856
2023-08-07 11:07:59.549,2.1237767,0.31505454,,0.0450629589786352,3177.545,310.92362453184285
2023-08-07 11:08:00.675,2.1237985,0.31505672,,0.0450634215378608,3178.671,310.9227142926757
2023-08-07 11:08:01.815,2.1237876,0.31505454,,0.045063190258248,3179.811,310.92222803205703
2023-08-07 11:08:02.948,2.1237767,0.31505346,,0.0450629589786352,3180.944,310.92269178568347
2023-08-07 11:08:04.072,2.1237767,0.31505454,,0.0450629589786352,3182.068,310.92362453184285
2023-08-07 11:08:05.198,2.1237985,0.31505346,,0.0450634215378608,3183.194,310.9198988100207
2023-08-07 11:08:06.320,2.1237767,0.31505672,,0.0450629589786352,3184.316,310.92550729723865
2023-08-07 11:08:07.441,2.1237876,0.31505672,,0.045063190258248,3185.437,310.92411078778986
2023-08-07 11:08:08.568,2.1238093,0.31505672,,0.0450636506956423,3186.564,310.9213306235811
2023-08-07 11:08:09.698,2.1237767,0.31505672,,0.0450629589786352,3187.694,310.92550729723865
2023-08-07 11:08:10.833,2.1237985,0.31505998,,0.0450634215378608,3188.829,310.92552977533074
2023-08-07 11:08:11.967,2.1237876,0.31505998,,0.045063190258248,3189.963,310.92692628489493
2023-08-07 11:08:13.088,2.1237767,0.31505563,,0.0450629589786352,3191.084,310.9245659145407
2023-08-07 11:08:14.214,2.1237659,0.31505672,,0.0450627298208537,3192.21,310.9268910088124
2023-08-07 11:08:15.337,2.123755,0.31505672,,0.0450624985412409,3193.333,310.92828754679965
2023-08-07 11:08:16.457,2.123755,0.31506106,,0.0450624985412409,3194.453,310.932035842813
2023-08-07 11:08:17.578,2.1237659,0.31505563,,0.0450627298208537,3195.574,310.9259496213272
2023-08-07 11:08:18.701,2.1237767,0.31505889,,0.0450629589786352,3196.697,310.927381426096
2023-08-07 11:08:19.826,2.123755,0.31506215,,0.0450624985412409,3197.822,310.9329772351297
2023-08-07 11:08:20.956,2.1237659,0.31506106,,0.0450627298208537,3198.952,310.93063928558803
2023-08-07 11:08:22.089,2.1237876,0.31505998,,0.045063190258248,3200.085,310.92692628489493
2023-08-07 11:08:23.210,2.1237659,0.31506324,,0.0450627298208537,3201.206,310.9325220605583
2023-08-07 11:08:24.335,2.123755,0.31505889,,0.0450624985412409,3202.331,310.9301616948063
2023-08-07 11:08:25.475,2.1237659,0.31506106,,0.0450627298208537,3203.471,310.93063928558803
2023-08-07 11:08:26.607,2.1237659,0.31506324,,0.0450627298208537,3204.603,310.9325220605583
2023-08-07 11:08:27.742,2.123755,0.31506106,,0.0450624985412409,3205.738,310.932035842813
2023-08-07 11:08:28.861,2.1237441,0.31505998,,0.0450622672616281,3206.857,310.93249965389623
2023-08-07 11:08:29.980,2.1237659,0.31506215,,0.0450627298208537,3207.976,310.9315806730731
2023-08-07 11:08:31.103,2.1237659,0.31506215,,0.0450627298208537,3209.099,310.9315806730731
2023-08-07 11:08:32.240,2.1237441,0.31506432,,0.0450622672616281,3210.236,310.9362479691475
2023-08-07 11:08:33.377,2.1237659,0.31506541,,0.0450627298208537,3211.373,310.93439619894605
2023-08-07 11:08:34.500,2.1237767,0.31506432,,0.0450629589786352,3212.496,310.93207106650846
2023-08-07 11:08:35.654,2.123755,0.31506541,,0.0450624985412409,3213.65,310.9357927754531
2023-08-07 11:08:36.785,2.1237441,0.31506867,,0.0450622672616281,3214.781,310.94000492106983
2023-08-07 11:08:37.917,2.1237441,0.31506324,,0.0450622672616281,3215.913,310.9353152086702
2023-08-07 11:08:39.041,2.1237441,0.31506867,,0.0450622672616281,3217.037,310.94000492106983
2023-08-07 11:08:40.175,2.1237659,0.31506867,,0.0450627298208537,3218.171,310.937211724819
2023-08-07 11:08:41.297,2.1237441,0.31506867,,0.0450622672616281,3219.293,310.94000492106983
2023-08-07 11:08:42.429,2.1237441,0.31506758,,0.0450622672616281,3220.425,310.9390635239215
2023-08-07 11:08:43.565,2.1237441,0.31507193,,0.0450622672616281,3221.561,310.94282047584386
2023-08-07 11:08:44.692,2.1237441,0.31507084,,0.0450622672616281,3222.688,310.9418790786955
2023-08-07 11:08:45.820,2.1237224,0.31506758,,0.0450618068242338,3223.816,310.94184395467664
2023-08-07 11:08:46.950,2.1237659,0.3150741,,0.0450627298208537,3224.946,310.94190138907976
2023-08-07 11:08:48.070,2.1237333,0.31507084,,0.0450620381038466,3226.066,310.94326289476646
2023-08-07 11:08:49.194,2.123755,0.3150741,,0.0450624985412409,3227.19,310.9432980041066
2023-08-07 11:08:50.318,2.1237876,0.3150741,,0.045063190258248,3228.314,310.93912101468726
2023-08-07 11:08:51.454,2.1237333,0.31507084,,0.0450620381038466,3229.45,310.94326289476646
2023-08-07 11:08:52.617,2.1237767,0.3150741,,0.0450629589786352,3230.613,310.94051760117407
2023-08-07 11:08:53.736,2.123755,0.31507845,,0.0450624985412409,3231.732,310.94705493674667
2023-08-07 11:08:54.859,2.1237333,0.3150741,,0.0450620381038466,3232.855,310.9460784638586
2023-08-07 11:08:55.993,2.1237333,0.31507519,,0.0450620381038466,3233.989,310.94701986579435
2023-08-07 11:08:57.115,2.1237441,0.31507628,,0.0450622672616281,3235.111,310.9465774277662
2023-08-07 11:08:58.236,2.1237333,0.31507084,,0.0450620381038466,3236.232,310.94326289476646
2023-08-07 11:08:59.366,2.1237441,0.31507302,,0.0450622672616281,3237.362,310.9437618729922
2023-08-07 11:09:00.515,2.1237659,0.31508062,,0.0450627298208537,3238.511,310.9475324408256
2023-08-07 11:09:01.638,2.1237333,0.3150741,,0.0450620381038466,3239.634,310.9460784638586
2023-08-07 11:09:02.759,2.1237876,0.31507845,,0.045063190258248,3240.755,310.94287788965875
2023-08-07 11:09:03.894,2.123755,0.31507845,,0.0450624985412409,3241.89,310.94705493674667
2023-08-07 11:09:05.028,2.1237659,0.3150828,,0.0450627298208537,3243.024,310.94941521579585
2023-08-07 11:09:06.161,2.123755,0.31508062,,0.0450624985412409,3244.157,310.94892908475333
2023-08-07 11:09:07.297,2.1237659,0.31508388,,0.0450627298208537,3245.293,310.95034797073106
2023-08-07 11:09:08.417,2.1237441,0.3150828,,0.0450622672616281,3246.413,310.95220856290825
2023-08-07 11:09:09.550,2.1237659,0.3150828,,0.0450627298208537,3247.546,310.94941521579585
2023-08-07 11:09:10.673,2.1237659,0.3150828,,0.0450627298208537,3248.669,310.94941521579585
2023-08-07 11:09:11.821,2.1237333,0.31508388,,0.0450620381038466,3249.817,310.954525223576
2023-08-07 11:09:12.950,2.123755,0.31508171,,0.0450624985412409,3250.946,310.9498704770701
2023-08-07 11:09:14.071,2.123755,0.31508606,,0.0450624985412409,3252.067,310.9536274517471
2023-08-07 11:09:15.205,2.1237333,0.31508497,,0.0450620381038466,3253.201,310.9554666364213
2023-08-07 11:09:16.351,2.1237767,0.31508497,,0.0450629589786352,3254.347,310.94990551853755
2023-08-07 11:09:17.474,2.1237659,0.31508714,,0.0450627298208537,3255.47,310.9531635292322
2023-08-07 11:09:18.603,2.1237441,0.31508497,,0.0450622672616281,3256.599,310.9540827422529
2023-08-07 11:09:19.725,2.1237333,0.31508606,,0.0450620381038466,3257.721,310.95640804926666
2023-08-07 11:09:20.856,2.123755,0.31508606,,0.0450624985412409,3258.852,310.9536274517471
2023-08-07 11:09:22.011,2.123755,0.31508714,,0.0450624985412409,3260.007,310.95456021824646
2023-08-07 11:09:23.137,2.1237441,0.31508606,,0.0450622672616281,3261.133,310.95502415031086
2023-08-07 11:09:24.298,2.123755,0.3150904,,0.0450624985412409,3262.294,310.9573757911983
2023-08-07 11:09:25.424,2.1237441,0.31508823,,0.0450622672616281,3263.42,310.9568983296556
2023-08-07 11:09:26.609,2.1237659,0.31509149,,0.0450627298208537,3264.605,310.956920486128
2023-08-07 11:09:27.732,2.1237333,0.31509149,,0.0450620381038466,3265.728,310.9610978398631
2023-08-07 11:09:28.891,2.123755,0.31508823,,0.0450624985412409,3266.887,310.9555016214727
