time,shunt_voltage,voltage,temperature,current,seconds_combined,temperature_corr_err,temperature_uncorr
2023-07-01 14:52:20.929,1.7173866,0.24947183,305.2733292813975,0.0364400465954155,15163.934,0.05523328612937025,305.2708503518967
2023-07-01 14:52:22.056,1.7173757,0.24947509,305.27849445585673,0.0364398153158027,15165.061,0.05523328612937025,305.2760164321516
2023-07-01 14:52:23.185,1.7173757,0.249474,305.27733092037585,0.0364398153158027,15166.19,0.05523328612937025,305.27485380407376
2023-07-01 14:52:24.306,1.7173866,0.24947726,305.2791183382296,0.0364400465954155,15167.311,0.05523328612937025,305.2766421229008
2023-07-01 14:52:25.460,1.7173974,0.24947618,305.27629208006107,0.036440275753197,15168.465,0.05523328612937025,305.27381679222844
2023-07-01 14:52:26.590,1.7173974,0.24947618,305.27629117185427,0.036440275753197,15169.595,0.05523328612937025,305.27381679222844
2023-07-01 14:52:27.706,1.7173974,0.249474,305.27396504812447,0.036440275753197,15170.711,0.05523328612937025,305.2714915654533
2023-07-01 14:52:28.827,1.7173757,0.24947618,305.2796516419273,0.0364398153158027,15171.832,0.05523328612937025,305.2771790602294
2023-07-01 14:52:29.951,1.7173974,0.24947509,305.27512585715425,0.036440275753197,15172.956,0.05523328612937025,305.27265417884087
2023-07-01 14:52:31.082,1.7173866,0.24948052,305.28259008805514,0.0364400465954155,15174.087,0.05523328612937025,305.28011931875227
2023-07-01 14:52:32.219,1.7173974,0.24947944,305.2797638216833,0.036440275753197,15175.224,0.05523328612937025,305.2772939662133
2023-07-01 14:52:33.349,1.7173866,0.24948161,305.2837508867143,0.0364400465954155,15176.354,0.05523328612937025,305.28128193945105
2023-07-01 14:52:34.475,1.7174083,0.24947835,305.27691053130377,0.0364405070328098,15177.48,0.05523328612937025,305.2744424890324
2023-07-01 14:52:35.598,1.7174192,0.24947835,305.2752207863672,0.0364407383124226,15178.603,0.05523328612937025,305.2727536466766
2023-07-01 14:52:36.723,1.7173866,0.24947944,305.28143359980083,0.0364400465954155,15179.728,0.05523328612937025,305.2789673642984
2023-07-01 14:52:37.857,1.7174083,0.24948161,305.28038496502916,0.0364405070328098,15180.862,0.05523328612937025,305.2779196409484
2023-07-01 14:52:38.988,1.7173974,0.24948161,305.2820729418807,0.036440275753197,15181.993,0.05523328612937025,305.27960852681053
2023-07-01 14:52:40.114,1.7173757,0.2494827,305.2865970061494,0.0364398153158027,15183.119,0.05523328612937025,305.28413349607115
2023-07-01 14:52:41.240,1.7173757,0.2494827,305.2865961011575,0.0364398153158027,15184.245,0.05523328612937025,305.28413349607115
2023-07-01 14:52:42.366,1.7173974,0.24947944,305.2797556663077,0.036440275753197,15185.371,0.05523328612937025,305.2772939662133
2023-07-01 14:52:43.494,1.7173757,0.24947726,305.28079181548975,0.0364398153158027,15186.499,0.05523328612937025,305.27833102199463
2023-07-01 14:52:44.632,1.7174192,0.2494827,305.2798532540126,0.0364407383124226,15187.637,0.05523328612937025,305.2773933751541
2023-07-01 14:52:45.753,1.7174083,0.24947944,305.2780640729263,0.0364405070328098,15188.758,0.05523328612937025,305.2756050950411
2023-07-01 14:52:46.882,1.7173757,0.24947835,305.2819517205546,0.0364398153158027,15189.887,0.05523328612937025,305.2794936500724
2023-07-01 14:52:48.004,1.7174192,0.24948378,305.2810024764467,0.0364407383124226,15191.009,0.05523328612937025,305.2785453077415
2023-07-01 14:52:49.148,1.7174192,0.24948487,305.28216415561775,0.0364407383124226,15192.153,0.05523328612937025,305.2797079063715
2023-07-01 14:52:50.281,1.7173866,0.2494827,305.2848998987781,0.0364400465954155,15193.286,0.05523328612937025,305.2824445601498
2023-07-01 14:52:51.410,1.7173757,0.24948596,305.2900651452172,0.0364398153158027,15194.415,0.05523328612937025,305.287610713992
2023-07-01 14:52:52.532,1.7173974,0.24948378,305.284376616856,0.036440275753197,15195.537,0.05523328612937025,305.2819230874078
2023-07-01 14:52:53.656,1.7173974,0.2494827,305.2832237662618,0.036440275753197,15196.661,0.05523328612937025,305.2807711401981
2023-07-01 14:52:54.788,1.7173757,0.24948378,305.2877371740858,0.0364398153158027,15197.793,0.05523328612937025,305.2852854578363
2023-07-01 14:52:55.912,1.7173974,0.24948487,305.2855365136604,0.036440275753197,15198.917,0.05523328612937025,305.28308570079537
2023-07-01 14:52:57.035,1.7173648,0.24948052,305.28594709280196,0.0364395840361899,15200.04,0.05523328612937025,305.2834971825177
2023-07-01 14:52:58.162,1.717354,0.24948596,305.2934222032624,0.0364393548784084,15201.167,0.05523328612937025,305.29097319877377
2023-07-01 14:52:59.285,1.7173431,0.24948487,305.2939476726474,0.0364391235987956,15202.29,0.05523328612937025,305.29149957073946
2023-07-01 14:53:00.407,1.7173648,0.24948922,305.29522413354357,0.0364395840361899,15203.412,0.05523328612937025,305.29277693341265
2023-07-01 14:53:01.545,1.7173648,0.24948813,305.29406058345006,0.0364395840361899,15204.55,0.05523328612937025,305.29161429795573
2023-07-01 14:53:02.662,1.7173648,0.24948487,305.29058244570115,0.0364395840361899,15205.667,0.05523328612937025,305.28813705796523
2023-07-01 14:53:03.790,1.7173757,0.24948813,305.29236978497164,0.0364398153158027,15206.795,0.05523328612937025,305.28992530383505
2023-07-01 14:53:04.913,1.7173431,0.2494827,305.29162851551484,0.0364391235987956,15207.918,0.05523328612937025,305.28918493695903
2023-07-01 14:53:06.038,1.717354,0.24948378,305.2910905876045,0.0364393548784084,15209.043,0.05523328612937025,305.28864791323684
2023-07-01 14:53:07.173,1.7173757,0.24948704,305.29120443789935,0.0364398153158027,15210.178,0.05523328612937025,305.28876267575714
2023-07-01 14:53:08.291,1.7173757,0.24948704,305.29120353933723,0.0364398153158027,15211.296,0.05523328612937025,305.28876267575714
2023-07-01 14:53:09.412,1.7173866,0.24948378,305.28603647721053,0.0364400465954155,15212.417,0.05523328612937025,305.2835965146037
2023-07-01 14:53:10.540,1.7173757,0.24948487,305.28888714192163,0.0364398153158027,15213.545,0.05523328612937025,305.2864480859142
2023-07-01 14:53:11.660,1.717354,0.24948704,305.29456333093276,0.0364393548784084,15214.665,0.05523328612937025,305.29212517509484
2023-07-01 14:53:12.791,1.7173648,0.24948596,305.29173694024945,0.0364395840361899,15215.796,0.05523328612937025,305.2892996934221
2023-07-01 14:53:13.929,1.7173757,0.24948596,305.29004704618285,0.0364398153158027,15216.934,0.05523328612937025,305.287610713992
2023-07-01 14:53:15.045,1.7173974,0.24948596,305.286683749419,0.036440275753197,15218.05,0.05523328612937025,305.2842483141829
2023-07-01 14:53:16.172,1.7173866,0.24948704,305.2895082398957,0.0364400465954155,15219.177,0.05523328612937025,305.2870737104552
2023-07-01 14:53:17.292,1.7173648,0.24948922,305.29521056268356,0.0364395840361899,15220.297,0.05523328612937025,305.29277693341265
2023-07-01 14:53:18.416,1.7173648,0.2494903,305.29636162837573,0.0364395840361899,15221.421,0.05523328612937025,305.29392890248926
2023-07-01 14:53:19.543,1.7173866,0.24949248,305.2953079677951,0.0364400465954155,15222.548,0.05523328612937025,305.29287614770425
2023-07-01 14:53:20.661,1.7173974,0.24949139,305.29247097029366,0.036440275753197,15223.666,0.05523328612937025,305.290040048765
2023-07-01 14:53:21.790,1.7174083,0.24949139,305.290781110822,0.0364405070328098,15224.795,0.05523328612937025,305.2883510966964
2023-07-01 14:53:22.914,1.7173757,0.24949248,305.2969942605748,0.0364398153158027,15225.919,0.05523328612937025,305.29456514983366
2023-07-01 14:53:24.082,1.7173866,0.24949465,305.29761889484985,0.0364400465954155,15227.087,0.05523328612937025,305.29519072285694
2023-07-01 14:53:25.213,1.7173757,0.24949139,305.29582978473826,0.0364398153158027,15228.218,0.05523328612937025,305.29340252175587
