time,sample_holder_res,exhaust_res,ths_voltage,ths_current,shunt_voltage,none
2023-10-13 12:59:25-13:00,1001.77895,9.900000000000001e+37,0.0222556775,-0.00448783296,0.173894299,
2023-10-13 12:59:27-13:00,1001.78401,9.900000000000001e+37,0.0222503434,-0.00449113858,0.173830046,
2023-10-13 12:59:29-13:00,1001.77924,9.900000000000001e+37,0.0222521817,-0.00448813347,0.173844525,
2023-10-13 12:59:30-13:00,1001.74765,9.900000000000001e+37,0.0222510667,-0.00448723193,0.173818583,
2023-10-13 12:59:32-13:00,1001.69162,9.900000000000001e+37,0.0222530255,-0.00449204011,0.17379807,
2023-10-13 12:59:34-13:00,1001.57746,9.900000000000001e+37,0.0222531461,-0.00448452733,0.173780574,
2023-10-13 12:59:36-13:00,1001.52679,9.900000000000001e+37,0.0222548337,-0.00448963602,0.173887964,
2023-10-13 12:59:37-13:00,1001.52947,9.900000000000001e+37,0.0222564007,-0.00448212325,0.173867451,
2023-10-13 12:59:39-13:00,1001.50891,9.900000000000001e+37,0.0222558281,-0.00448572938,0.173861418,
2023-10-13 12:59:41-13:00,1001.50712,9.900000000000001e+37,0.0222541707,-0.0044836258,0.173860212,
2023-10-13 12:59:43-13:00,1001.49967,9.900000000000001e+37,0.022250916,-0.00448332529,0.17384362,
2023-10-13 12:59:44-13:00,1001.45883,9.900000000000001e+37,0.02225402,-0.00448723193,0.173819789,
2023-10-13 12:59:46-13:00,1001.59534,9.900000000000001e+37,0.0222487462,-0.00448693142,0.173817979,
2023-10-13 12:59:48-13:00,0.0,9.900000000000001e+37,0.022254683,-0.00449113858,0.173851162,
2023-10-13 12:59:50-13:00,1001.44155,9.900000000000001e+37,0.0222516694,-0.00448512836,0.173820694,
2023-10-13 12:59:51-13:00,1001.44006,9.900000000000001e+37,0.0222525132,-0.00449023704,0.173833364,
2023-10-13 12:59:53-13:00,1001.43976,9.900000000000001e+37,0.0222555268,-0.00448422682,0.173821298,
2023-10-13 12:59:55-13:00,1001.43648,9.900000000000001e+37,0.0222603485,-0.00448392631,0.173886456,
2023-10-13 12:59:57-13:00,1001.41919,9.900000000000001e+37,0.0222523927,-0.00448452733,0.173889171,
2023-10-13 12:59:58-13:00,1001.42813,9.900000000000001e+37,0.0222479928,-0.004489035,0.173834571,
2023-10-13 13:00:00-13:00,1001.42217,9.900000000000001e+37,0.0222659839,-0.0044836258,0.173884646,
2023-10-13 13:00:02-13:00,1001.42188,9.900000000000001e+37,0.0222671893,-0.00448332529,0.17391632,
