time,shunt_resistance
2023-10-12 15:44:33.729881, 47.1281118
2023-10-12 15:44:34.498770, 47.1288562
2023-10-12 15:44:35.267068, 47.1283798
2023-10-12 15:44:36.039466, 47.1284989
2023-10-12 15:44:36.829049, 47.1278736
2023-10-12 15:44:37.606412, 47.1282607
2023-10-12 15:44:38.377309, 47.1287073
2023-10-12 15:44:39.138218, 47.1289157
2023-10-12 15:44:39.918476, 47.128618
2023-10-12 15:44:40.689740, 47.1283202
2023-10-12 15:44:41.466514, 47.1284393
2023-10-12 15:44:42.243736, 47.1284989
2023-10-12 15:44:43.015994, 47.1284691
2023-10-12 15:44:43.788185, 47.1283798
2023-10-12 15:44:44.576448, 47.1284989
2023-10-12 15:44:45.341171, 47.1287073
2023-10-12 15:44:46.116946, 47.1284393
2023-10-12 15:44:46.890543, 47.1283202
2023-10-12 15:44:47.665627, 47.1279629
2023-10-12 15:44:48.439329, 47.1285584
2023-10-12 15:44:49.201485, 47.1279629
2023-10-12 15:44:49.975544, 47.1283798
2023-10-12 15:44:50.767636, 47.12835
2023-10-12 15:44:51.540324, 47.1282607
2023-10-12 15:44:52.309102, 47.1282607
2023-10-12 15:44:53.097435, 47.1283202
2023-10-12 15:44:53.859595, 47.128082
2023-10-12 15:44:54.636119, 47.1281416
2023-10-12 15:44:55.416606, 47.1282309
2023-10-12 15:44:56.172445, 47.1284096
2023-10-12 15:44:56.959964, 47.1284096
2023-10-12 15:44:57.735397, 47.1284691
2023-10-12 15:44:58.502643, 47.1279927
2023-10-12 15:44:59.275717, 47.1282011
2023-10-12 15:45:00.047245, 47.1281118
2023-10-12 15:45:00.819482, 47.1281118
2023-10-12 15:45:01.600829, 47.1282905
2023-10-12 15:45:02.362821, 47.1277247
2023-10-12 15:45:03.149992, 47.1273377
2023-10-12 15:45:03.912856, 47.1282905
2023-10-12 15:45:04.699859, 47.1284096
2023-10-12 15:45:05.460066, 47.1277247
2023-10-12 15:45:06.241358, 47.1278736
2023-10-12 15:45:07.018158, 47.1285882
2023-10-12 15:45:07.790719, 47.1290944
2023-10-12 15:45:08.558695, 47.1287669
2023-10-12 15:45:09.339977, 47.1283202
2023-10-12 15:45:10.117644, 47.1282607
2023-10-12 15:45:10.879581, 47.1282309
2023-10-12 15:45:11.654707, 47.1283202
2023-10-12 15:45:12.429169, 47.1282607
2023-10-12 15:45:13.208841, 47.1287073
2023-10-12 15:45:13.997172, 47.1282905
2023-10-12 15:45:14.759722, 47.1289753
2023-10-12 15:45:15.541650, 47.1283202
2023-10-12 15:45:16.300371, 47.1283798
2023-10-12 15:45:17.075914, 47.1287669
2023-10-12 15:45:17.850393, 47.1292135
2023-10-12 15:45:18.641314, 47.1289157
2023-10-12 15:45:19.408029, 47.1290051
2023-10-12 15:45:20.173683, 47.1287966
2023-10-12 15:45:20.947544, 47.1287371
2023-10-12 15:45:21.733950, 47.1279034
2023-10-12 15:45:22.500691, 47.1276652
2023-10-12 15:45:23.282138, 47.1285287
2023-10-12 15:45:24.049401, 47.1284393
2023-10-12 15:45:24.837888, 47.1287371
2023-10-12 15:45:25.618064, 47.1288264
2023-10-12 15:45:26.383776, 47.1296006
2023-10-12 15:45:27.158451, 47.1290051
2023-10-12 15:45:27.923214, 47.1289157
2023-10-12 15:45:28.711593, 47.128618
2023-10-12 15:45:29.487467, 47.1288264
2023-10-12 15:45:30.261584, 47.1287371
2023-10-12 15:45:31.037877, 47.1290051
2023-10-12 15:45:31.810471, 47.128618
2023-10-12 15:45:32.584690, 47.1282011
2023-10-12 15:45:33.351371, 47.1284989
2023-10-12 15:45:34.118721, 47.1279629
2023-10-12 15:45:34.890268, 47.1285882
2023-10-12 15:45:35.670452, 47.1282011
2023-10-12 15:45:36.452964, 47.1283798
2023-10-12 15:45:37.228777, 47.1285287
2023-10-12 15:45:38.003409, 47.1285287
2023-10-12 15:45:38.778716, 47.1290646
2023-10-12 15:45:39.548039, 47.1282905
2023-10-12 15:45:40.312153, 47.1284096
2023-10-12 15:45:41.087204, 47.12835
2023-10-12 15:45:41.868924, 47.1288562
2023-10-12 15:45:42.634878, 47.1287073
2023-10-12 15:45:43.418636, 47.12835
2023-10-12 15:45:44.191823, 47.1284393
2023-10-12 15:45:44.962218, 47.1285882
2023-10-12 15:45:45.724698, 47.1284393
2023-10-12 15:45:46.500554, 47.1284989
2023-10-12 15:45:47.278919, 47.1283202
2023-10-12 15:45:48.052165, 47.128886
2023-10-12 15:45:48.829599, 47.1281118
2023-10-12 15:45:49.608815, 47.1282607
2023-10-12 15:45:50.381621, 47.1283798
2023-10-12 15:45:51.162023, 47.128618
2023-10-12 15:45:51.930916, 47.1287073
2023-10-12 15:45:52.701431, 47.1287669
2023-10-12 15:45:53.471698, 47.1279629
2023-10-12 15:45:54.259770, 47.128618
2023-10-12 15:45:55.029019, 47.1288264
2023-10-12 15:45:55.801352, 47.1279332
2023-10-12 15:45:56.581637, 47.1287073
2023-10-12 15:45:57.347960, 47.1279927
2023-10-12 15:45:58.123153, 47.1282309
2023-10-12 15:45:58.912051, 47.128082
2023-10-12 15:45:59.686695, 47.128082
2023-10-12 15:46:00.452489, 47.1283202
2023-10-12 15:46:01.220211, 47.1279332
2023-10-12 15:46:02.012677, 47.1286775
2023-10-12 15:46:02.775466, 47.1284989
2023-10-12 15:46:03.550718, 47.1288264
2023-10-12 15:46:04.323083, 47.1285882
2023-10-12 15:46:05.107645, 47.12835
2023-10-12 15:46:05.889051, 47.1290348
2023-10-12 15:46:06.663509, 47.1284096
2023-10-12 15:46:07.433027, 47.1287966
2023-10-12 15:46:08.215586, 47.1290348
2023-10-12 15:46:08.975923, 47.1284393
2023-10-12 15:46:09.764802, 47.1287073
2023-10-12 15:46:10.539249, 47.1290646
2023-10-12 15:46:11.312553, 47.128886
2023-10-12 15:46:12.073784, 47.1286478
2023-10-12 15:46:12.862655, 47.1284096
2023-10-12 15:46:13.629942, 47.1283798
2023-10-12 15:46:14.406749, 47.1286478
2023-10-12 15:46:15.172808, 47.1284096
2023-10-12 15:46:15.961168, 47.128082
2023-10-12 15:46:16.730248, 47.1287073
2023-10-12 15:46:17.509551, 47.1285584
2023-10-12 15:46:18.283893, 47.1284691
2023-10-12 15:46:19.049628, 47.1284096
2023-10-12 15:46:19.822538, 47.128886
2023-10-12 15:46:20.603604, 47.1287371
2023-10-12 15:46:21.359109, 47.1284393
2023-10-12 15:46:22.131726, 47.1282607
2023-10-12 15:46:22.923454, 47.1285584
2023-10-12 15:46:23.704389, 47.1292433
2023-10-12 15:46:24.466155, 47.1289455
2023-10-12 15:46:25.253698, 47.1289455
2023-10-12 15:46:26.025192, 47.1284393
2023-10-12 15:46:26.799579, 47.1289455
2023-10-12 15:46:27.580697, 47.1287966
2023-10-12 15:46:28.350690, 47.1287966
2023-10-12 15:46:29.123573, 47.1285882
2023-10-12 15:46:29.912423, 47.1289157
2023-10-12 15:46:30.681352, 47.12835
2023-10-12 15:46:31.449965, 47.1280523
2023-10-12 15:46:32.222909, 47.1287073
2023-10-12 15:46:33.005275, 47.1279332
2023-10-12 15:46:33.773049, 47.1290051
2023-10-12 15:46:34.574059, 47.1289753
2023-10-12 15:46:35.328386, 47.1282607
2023-10-12 15:46:36.110570, 47.1288562
2023-10-12 15:46:36.892343, 47.1287073
2023-10-12 15:46:37.647376, 47.1286775
2023-10-12 15:46:38.423760, 47.1279629
2023-10-12 15:46:39.205271, 47.1279629
2023-10-12 15:46:39.963986, 47.1282309
2023-10-12 15:46:40.745869, 47.1284691
